Time,Power - Grid L1,Power - Grid L2,Power - Grid L3,Total
1602801900000.00,-47.64222222,-35.57555556,-21.35333333,-104.5711111
1602802800000.00,-47.54,-35.65444444,-21.33888889,-104.5333333
1602803700000.00,-46.82,-35.00555556,-21.07555556,-102.9011111
1602804600000.00,-49.27444444,-34.75222222,-19.02666667,-103.0533333
1602805500000.00,-46.81555556,-34.53111111,-20.98333333,-102.33
1602806400000.00,-47.49060773,-34.88066298,-20.85303867,-103.2243094
1602807300000.00,-47.17777778,-35.19777778,-21.35222222,-103.7277778
1602808200000.00,-47.78111111,-35.17555556,-20.83666667,-103.7933333
1602809100000.00,-47.26333333,-35.43333333,-21.28111111,-103.9777778
1602810000000.00,-47.2,-35.37666667,-21.34888889,-103.9255556
1602810900000.00,-47.27666667,-35.17111111,-21.29666667,-103.7444444
1602811800000.00,-47.22777778,-35.38333333,-21.16555556,-103.7766667
1602812700000.00,-47.08777778,-35.41666667,-21.28555556,-103.79
1602813600000.00,-47.06333333,-35.30777778,-21.27111111,-103.6422222
1602814500000.00,-47.14777778,-35.37666667,-21.11,-103.6344444
1602815400000.00,-47.15666667,-35.00888889,-21.31777778,-103.4833333
1602816300000.00,-46.91,-34.8,-21.09888889,-102.8088889
1602817200000.00,-46.73555556,-34.92111111,-20.99888889,-102.6555556
1602818100000.00,-47.06333333,-35.03777778,-21.11555556,-103.2166667
1602819000000.00,-46.82777778,-34.86111111,-20.98666667,-102.6755556
1602819900000.00,-46.68555556,-34.51777778,-21.35444444,-102.5577778
1602820800000.00,-50.91444444,-34.21888889,-17.73444444,-102.8677778
1602821700000.00,-46.63222222,-34.59777778,-20.9,-102.13
1602822600000.00,-47.08444444,-34.77777778,-21.03888889,-102.9011111
1602823500000.00,-46.85777778,-34.51666667,-21.01444444,-102.3888889
1602824400000.00,-48.05444444,-34.59,-20.21555556,-102.86
1602825300000.00,-47.02333333,-34.49,-20.29666667,-101.81
1602826200000.00,-46.42666667,-34.33,-20.67888889,-101.4355556
1602827100000.00,-45.71666667,-34.37444444,-20.66,-100.7511111
1602828000000.00,-41.72942503,-34.66854566,-19.51071026,-95.90868095
1602828900000.00,102.2444444,111.6044444,121.71,335.5588889
1602829800000.00,607.6422222,619.0455556,612.4466667,1839.134444
1602830700000.00,1166.288889,1176.647778,1155.184444,3498.121111
1602831600000.00,1677.594444,1685.566667,1649.917778,5013.078889
1602832500000.00,2287.967778,2292.562222,2243.843333,6824.373333
1602833400000.00,3653.92,3649.492222,3570.516667,10873.92889
1602834300000.00,4662.161111,4654.184444,4552.417778,13868.76333
1602835200000.00,5480.98,5466.895556,5346.907778,16294.78333
1602836100000.00,7240.226667,7209.972222,7056.467778,21506.66667
