Time,Power - Grid L1,Power - Grid L2,Power - Grid L3,Total
1602803700000.00,2571.828889,-840.7588889,703.61,2434.68
1602804600000.00,28815.24778,25665.86,27030.14556,81511.25333
1602805500000.00,3288.262222,-1288.98,415.65,2414.932222
1602806400000.00,7905.744751,4016.61105,5005.234254,16927.59006
1602807300000.00,3122.404444,-172.7644444,489.1233333,3438.763333
1602808200000.00,10128.97778,6843.802222,7646.827778,24619.60778
1602809100000.00,2750.488889,-424.7744444,399.3733333,2725.087778
1602810000000.00,2637.874444,-390.7888889,273.7577778,2520.843333
1602810900000.00,2425.285556,-534.5922222,665.64,2556.333333
1602811800000.00,2572.001111,-614.8044444,583.9988889,2541.195556
1602812700000.00,2389.38,-508.1711111,629.09,2510.298889
1602813600000.00,2640.527778,-546.9877778,518.18,2611.72
1602814500000.00,2714.498889,-1052.901111,797.7344444,2459.332222
1602815400000.00,2920.425556,-672.2788889,650.0344444,2898.181111
1602816300000.00,2630.525556,-702.2455556,918.7011111,2846.981111
1602817200000.00,3314.325556,-1479.657778,859.3655556,2694.033333
1602818100000.00,3061.534444,-1395.652222,842.8133333,2508.695556
1602819000000.00,3174.537778,-1362.026667,969.3666667,2781.877778
1602819900000.00,3438.686667,-1401.101111,520.2666667,2557.852222
1602820800000.00,48116.31222,42492.08444,45237.79667,135846.1933
1602821700000.00,3766.2,-1863.406667,848.6233333,2751.416667
1602822600000.00,4039.222222,-1903.383333,611.7755556,2747.614444
1602823500000.00,4171.447778,-1745.964444,330.5544444,2756.037778
1602824400000.00,16302.50667,9706.418889,12373.98667,38382.91222
1602825300000.00,7932.181111,2426.477778,3995.236667,14353.89556
1602826200000.00,3987.815556,-1312.087778,5.015555556,2680.743333
1602827100000.00,4375.163333,-1699.723333,137.2655556,2812.705556
1602828000000.00,4649.197294,-1544.200676,-402.740699,2702.255919
1602828900000.00,4042.898889,-1696.445556,-234.5333333,2111.92
1602829800000.00,3670.47,-1605.734444,-1181.534444,883.2011111
1602830700000.00,2459.106667,-2580.005556,-734.8188889,-855.7177778
1602831600000.00,1651.854444,-2358.806667,-1640.851111,-2347.803333
1602832500000.00,1205.427778,-2951.147778,-2356.572222,-4102.292222
1602833400000.00,-190.0244444,-4156.98,-3579.29,-7926.294444
1602834300000.00,-977.8144444,-5160.353333,-4427.558889,-10565.72667
1602835200000.00,-1539.994444,-5926.125556,-5660.528889,-13126.64889
1602836100000.00,-2706.962222,-8219.106667,-7155.155556,-18081.22444
1602837000000.00,-6439.426667,-11592.34111,-10390.49889,-28422.26667
1602837900000.00,-10403.33,-15806.12444,-13557.43333,-39766.88778
1602838800000.00,-12699.74778,-17115.31,-15203.30444,-45018.36222
1602839700000.00,-13755.14222,-18337.65333,-16337.53889,-48430.33444
1602840600000.00,-9032.341111,-13692.88667,-12274.83889,-35000.06667
1602841500000.00,-10115.40333,-14879.36222,-13604.64,-38599.40556
1602842400000.00,-8487.481111,-12696.77,-12390.71111,-33574.96222
1602843300000.00,-10194.73778,-15207.27667,-13871.71556,-39273.73
1602844200000.00,-12356.08444,-18072.36444,-15522.05111,-45950.5
1602845100000.00,-5565.794444,-10988.31667,-8981.437778,-25535.54889
1602846000000.00,-4696.472222,-9619.313333,-9141.722222,-23457.50778
1602846900000.00,-388828.7533,-396277.28,-393722.7622,-1178828.796
1602847800000.00,-470222.6556,-477831.7867,-474945.5922,-1423000.034
1602848700000.00,-26593.97111,-32194.05667,-30351.48667,-89139.51444
1602849600000.00,-4895.974444,-10382.91222,-10397.49222,-25676.37889
1602850500000.00,-5039.231111,-9818.574444,-9856.385556,-24714.19111
1602851400000.00,-6709.284444,-11236.41444,-11030.15778,-28975.85667
1602852300000.00,-5599.59,-9054.881111,-8849.536667,-23504.00778
1602853200000.00,-2866.413333,-5829.834444,-6020.61,-14716.85778
1602854100000.00,-9194.175556,-13179.60444,-12901.57333,-35275.35333
1602855000000.00,-6792.67,-10790.29333,-10010.01889,-27592.98222
1602855900000.00,-6272.481111,-9837.132222,-9069.004444,-25178.61778
1602856800000.00,-5991.36,-10144.09,-8864.097778,-24999.54778
1602857700000.00,-6020.845556,-9970.358889,-8379.136667,-24370.34111
1602858600000.00,-3679.594444,-7720.034444,-7034.792222,-18434.42111
1602859500000.00,-2021.836667,-6024.464444,-4366.113333,-12412.41444
1602860400000.00,116414.0533,114137.35,115705.1033,346256.5067
1602861300000.00,13439.38778,10931.66,12192.05556,36563.10333
1602862200000.00,483.7266667,-1493.318889,-952.2733333,-1961.865556
1602863100000.00,767.9911111,-1357.685556,-1123.44,-1713.134444
1602864000000.00,1196.62,-194.8977778,-511.6933333,490.0288889
1602864900000.00,1463.212222,-238.1255556,-161.3944444,1063.692222
1602865800000.00,1821.793333,-52.74888889,333.3155556,2102.36
1602866700000.00,2656.854444,351.6377778,-373.8722222,2634.62
1602867600000.00,-375216.8656,-380719.8456,-380526.1678,-1136462.879
1602868500000.00,-361475.9911,-365952.04,-366035.2878,-1093463.319
1602869400000.00,-290457.0044,-294387.7311,-294997.79,-879842.5256
1602870300000.00,-10441.75,-12996.63222,-13133.75111,-36572.13333
1602871200000.00,2549.701111,-180.3911111,761.4377778,3130.747778
1602872100000.00,2123.29,-262.3066667,1046.977778,2907.961111
1602873000000.00,2551.906667,-588.4311111,1017.432222,2980.907778
1602873900000.00,2830.198889,-513.9,674.0388889,2990.337778
1602874800000.00,3090.67,-840.1555556,516.7744444,2767.288889
1602875700000.00,3055.046667,-702.4933333,649.8344444,3002.387778
1602876600000.00,2874.037778,-771.8533333,612.7622222,2714.946667
1602877500000.00,3554.211111,-760.2311111,-83.81777778,2710.162222
1602878400000.00,3390.944444,-1313.962222,630.7288889,2707.711111
1602879300000.00,3685.595556,-1340.607778,341.2833333,2686.271111
1602880200000.00,3327.488889,-1316.106667,635.0788889,2646.461111
1602881100000.00,2896.877778,-1107.061111,601.6833333,2391.5
